Species,Subspecies,Sex,CatNo,A - total length,B - proximal width,C - depth of cotyla medialis,D - minimum width of shaft,E - minimum depth of shaft,F - distal width,G - distance between dorsal surface of trochlea metatarsi III and plantar side of trochlea metatarsi II,H - depth of lateral side of trochlea metatarsi III,I - Proximal side of base of spur core to the lateral end of Trochlea metatarsi III,J - length of spur core,Place of collection,Date of collection,My comments,Collection,Remarks 1,,
californica,,,G 6246,,,,,4.61,18.96,9.54,8.99,,,Rancho La Brea,R,adult,,,,
californica,,,E 7269,,,,,4.61,19.19,9.98,8.84,,,Rancho La Brea,R,adult,,,,
californica,,,K 774,,,,,5.77,21.87,11.82,10.48,63.88,23.71,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,G 6263,,,,,4.61,18.7,10.42,9.35,,,Rancho La Brea,R,adult,,,,
californica,,,E 8616,,,,8.62,5.44,22.23,12.09,10.63,62.53,20.9,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,E 8192,,,,8.22,5.61,22.15,12.35,11.11,66.58,,Rancho La Brea,R,adult,,,top of spur broken off,
californica,,,G 6232,,,,8.27,5.72,23.14,13.15,11.45,67.58,15.35,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,G 5897,,,,,6.07,22,12,10.78,63.07,20.76,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,E 8078,,,,8.78,5.6,22.71,12.22,10.94,62.46,22.5,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,E 5408,,,,8.28,5.69,22.41,12.16,11.36,71.83,,Rancho La Brea,R,adult,,,spur=little bump,
californica,,,G 5898,,,,8.46,5.57,22.15,12.18,10.81,64.58,17.48,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,E 8050,,,,8.76,5.74,22.34,11.65,10.51,63.17,14.26,Rancho La Brea,R,adult,,,top of spur broken off,
californica,,,G 6185,,,,8.19,5.5,21.82,11.03,,66.02,14.88,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface,
californica,,,G 6249,,,,7.97,5.51,23.25,,10.67,,,Rancho La Brea,R,adult,,,spur=little bump,
californica,,,G 6196,,,,7.65,5.33,22.6,,10.36,,14.94,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface,
californica,,,E 7592,,,,8.84,5.73,22.88,13.05,11.11,63.98,19.6,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,G 6182,,,,8.17,5.61,21.88,12.07,10.82,62.87,17.47,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,E 8010,,,,9.42,6.19,24.32,12.57,11.69,70.15,24.05,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,E 7340,,,,8.57,5.65,22.86,11.75,10.94,64.49,19.32,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,G 6223,,,,8.01,5.31,21.28,11.56,9.94,62.23,18.71,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface,
californica,,,E 8159,,,,9.1,6.43,22.8,12.6,11.13,64.85,,Rancho La Brea,R,adult,,,spur broken off,
californica,,,K 1129,,,,7.77,5.22,19.93,,9.96,68.46,,Rancho La Brea,R,adult,,,spur broken off,
californica,,,E 7313,,,,8.56,5.7,21.6,12.59,10.68,63.76,15.46,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface,
californica,,,E 7857,,,,7.92,5.48,21.45,12.06,10.5,63.65,20.85,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,E 8081,,,,8.08,5.53,21.6,12.32,10.7,,,Rancho La Brea,R,adult,,,spur=little bump,
californica,,,E 5618,,,,8.64,5.72,22.86,12.4,10.69,65.35,20.16,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,E 8591,,,,8.04,5.56,21.43,11.8,10.37,66.5,16.63,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface,
californica,,,G 6278,,,,7.94,5.59,21.22,11.27,10.32,59.2,,Rancho La Brea,R,adult,,,spur=little bump,
californica,,,E 8580,,,,8.03,5.31,21.89,11.65,10.84,63.79,,Rancho La Brea,R,adult,,,spur=little bump,
californica,,,E 6120,,,,,5.22,22.88,11.14,10.88,,,Rancho La Brea,R,adult,,,,
californica,,,E 8447,,,,8.28,5.89,22.51,11.6,10.52,61.69,20.23,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,E 8118,,,,7.17,4.52,18.57,10.45,9.34,,,Rancho La Brea,R,imm?,,Measurements OK,,
californica,,,E 5496,,,,8.72,5.84,23.44,12.88,11.17,70.79,17.24,Rancho La Brea,R,adult,,,top of spur broken off,
californica,,,E 5614,,,,8.7,5.76,22.92,12.65,11.1,66.31,16.18,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface,
californica,,,E 8372,,,,8.85,5.88,22.71,13.11,10.97,63.61,13.76,Rancho La Brea,R,adult,,,spur spongy,
californica,,,G 5975,,,,8.32,6.03,23.2,12.2,11.2,63.07,15.05,Rancho La Brea,R,adult,,,spur spongy,
californica,,,E 8532,,,,8.87,5.67,21.93,,,63.14,,Rancho La Brea,R,adult,,,spur=little bump,
californica,,,E 8516,,,,9.44,5.89,23.85,13.47,11.27,62.57,22.1,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,E 7370,,,,8.9,5.9,22.02,11.77,10.54,61.67,18.79,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,G 6258,,,,8.21,5.34,22.56,11.87,11.45,62.41,15.36,Rancho La Brea,R,adult,,,spur spongy,
californica,,,G 6188,,,,9.24,5.95,22.24,12.55,10.86,64.14,21.55,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,G 6113,,,,7.19,4.95,18.44,10.37,8.82,,,Rancho La Brea,R,adult,,,,
californica,,,E 7389,,,,7.13,4.9,18.45,9.87,8.74,,,Rancho La Brea,R,adult,,,,
californica,,,E 7301,,,,6.71,4.77,18.71,10.46,8.9,,,Rancho La Brea,R,imm?,,Measurements OK,,
californica,,,E 8483,,,,7.46,5.22,19.44,10.97,9.55,,,Rancho La Brea,R,adult,,,,
californica,,,E 7884,,,,7.23,4.77,19.61,10.45,9.6,,,Rancho La Brea,R,adult,,,,
californica,,,G 5969,,,,,4.35,19.12,10.2,9.3,,,Rancho La Brea,R,imm?,,Measurements OK,,
californica,,,E 6734,,,,,5.18,22.13,11.5,10.61,,,Rancho La Brea,R,adult,,,,
californica,,,E 7123,,,,8.63,5.67,23.88,12.77,11.29,,,Rancho La Brea,R,imm?,,Measurements OK,,
californica,,,G 6236,,,,7.86,5.13,21.44,11.7,10.43,,,Rancho La Brea,R,adult,,,,
californica,,,G 6197,,,,,4.39,18.03,9.93,8.97,,,Rancho La Brea,R,imm?,,Measurements OK,,
californica,,,E 5624,,,,7.99,5.16,24.06,12.8,11.8,,,Rancho La Brea,R,imm?,,Measurements OK,,
californica,,,E 8176,,,,,5.82,23,12.9,11.91,,,Rancho La Brea,R,adult,,,,
californica,,,G 6148,,,,7.41,5,19.13,9.6,9.32,,,Rancho La Brea,R,adult,,,,
californica,,,E 8435,,,,,5.09,19.01,10.41,9.5,,,Rancho La Brea,R,adult,,,,
californica,,,E 7380,,,,7.3,4.63,19.26,10.07,9.43,,,Rancho La Brea,R,adult,,,,
californica,,,E 8459,,,,6.66,4.48,18.3,10.22,8.95,,,Rancho La Brea,R,imm?,,Measurements OK,,
californica,,,G 6229,,,,6.56,4.76,18.59,10.63,9.24,,,Rancho La Brea,R,imm?,,Measurements OK,,
californica,,,G 6036,,,,,5.87,22.45,12.16,11.41,,,Rancho La Brea,R,adult,,,,
californica,,,E 8644,,,,,6.19,23.42,12.85,11.46,,,Rancho La Brea,R,adult,,,,
californica,,,E 7823,,,,7.68,5.11,19.27,11.04,9.81,,,Rancho La Brea,R,imm?,,Measurements OK,,
californica,,,G 6078,,,,,4.91,18.2,10.24,9.19,,,Rancho La Brea,R,adult,,,,
californica,,,E 7075,,,,6.52,4.66,17.3,9.35,8.87,,,Rancho La Brea,R,imm?,,Measurements OK,,
californica,,,G 6044,,,,,4.8,19.34,10.56,9.72,,,Rancho La Brea,R,adult,,,,
californica,,,G 6047,,,,,5.56,22.07,12.01,10.64,,,Rancho La Brea,R,adult,,,,
californica,,,G 6264,,,,,5.8,22.34,12.22,11.05,,,Rancho La Brea,R,adult,,,,
californica,,,K 7776,115.82,17.57,11.56,7.22,4.79,18.46,,,,,Rancho La Brea,R,adult,,,,
californica,,,K 7777,114.56,17.3,11.2,,4.61,18.12,9.84,,,,Rancho La Brea,R,adult,,,,
californica,,,K 7778,120.19,18.19,11.28,7.09,4.81,18.7,10.18,8.8,,,Rancho La Brea,R,adult,,,,
californica,,,K 7779,115.69,19.12,10.97,7.21,4.86,18.38,10.01,9.03,,,Rancho La Brea,R,adult,,,,
californica,,,K 7780,139.55,19.29,11.95,8.01,5.29,20.59,10.29,,,,Rancho La Brea,R,imm (prox part spongy),,Measurements probably OK,,
californica,,,K 7781,119.61,17.97,11.4,7.15,4.91,18.1,10.84,9.33,,,Rancho La Brea,R,imm (prox part spongy),,Measurements probably OK,,
californica,,,K 7791,,21.36,13.32,7.88,,,,,,,Rancho La Brea,R,adult,,,spur=little bump,
californica,,,K 7795,,18.89,11.94,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,K 7793,,17.44,12.16,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,K 7792,,17.97,11.16,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,K 7816,,18.77,13.37,,,,,,,13.89,Rancho La Brea,R,adult,,,spur spongy,
californica,,,K 7815,,21.42,14.53,8.35,,,,,,18.29,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface,
californica,,,K 7830,,,13.52,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,K 7831,,21.43,13.61,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,K 7832,,22.02,13.87,,,,,,,,Rancho La Brea,R,imm?,,Measurements OK,,
californica,,,K 7825,,,,7.4,4.61,18.85,9.92,9.15,,,Rancho La Brea,R,adult,,,,
californica,,,K 7829,,,,6.57,4.46,18.49,10.77,9.45,,,Rancho La Brea,R,imm?,,Measurements OK,,
californica,,,K 7838,,,,8.96,5.89,22.13,12.08,10.98,64.54,19.38,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,K 7839,,,,8.58,5.64,21.63,12.27,10.8,65.08,16.62,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface,
californica,,,K 7841,,,,7.01,4.94,18.98,10.24,9.11,,,Rancho La Brea,R,adult,,,,
californica,,,K 7848,,,,6.8,4.86,17.89,10.15,9.05,,,Rancho La Brea,R,adult,,,,
californica,,,K 7849,,,,6.66,4.45,17.62,10.06,8.93,,,Rancho La Brea,R,imm?,,Measurements OK,,
californica,,,K 7850,,,,,5.65,20.04,,10.41,,,Rancho La Brea,R,adult,,,,
californica,,,K 7851,,,,7.4,5.02,18.48,10.48,9.32,,,Rancho La Brea,R,adult,,,,
californica,,,K 7788,113.52,18.74,11.25,6.92,4.97,18.22,9.89,9.25,,,Rancho La Brea,R,adult,,,,
californica,,,K 7774,148.43,24.15,14.18,9.49,6.01,23.25,12.91,11.59,67,13.65,Rancho La Brea,R,adult,,,spur spongy,
californica,,,K 7895,,18.97,11.93,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,K 7896,,19.12,11.55,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,K 7897,,17.05,11.39,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,K 7899,,17.32,10.67,,,,,,,,Rancho La Brea,R,imm?,,Measurements OK,,
californica,,,K 7885,,,,,4.66,18.04,9.71,8.62,,,Rancho La Brea,R,adult,,,,
californica,,,K 7887,,,,,4.5,,,8.44,,,Rancho La Brea,R,adult,,,,
californica,,,K 7891,,,,8.98,6.15,22.47,13.24,11.49,66.1,,Rancho La Brea,R,adult,,,top of spur broken off,
californica,,,K 7892,115.44,18.24,11.46,7.4,,,,8.66,,,Rancho La Brea,R,adult,,,,
californica,,,R 16995,,,,,4.72,18.53,,9.12,,,Rancho La Brea,L,adult,,,,
californica,,,R 12003,,,,,4.64,18.11,9.18,,,,Rancho La Brea,R,adult,,,,
californica,,,R 12210,,19.58,11.92,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,R 12901,110.06,17.84,11.54,6.41,4.51,,,,,,Rancho La Brea,L,imm?,,Measurements OK,,
californica,,,R 13449,144.49,,13.26,8.46,5.65,22.26,12.04,10.91,66.99,15.85,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface,
californica,,,R 15185,,,,,4.46,18.33,9.96,,,,Rancho La Brea,R,adult,,,,
californica,,,R 15283,,,,7.32,4.74,19.06,10.18,8.99,,,Rancho La Brea,L,adult,,,,
californica,,,R 15539,,,,8.04,5.44,21.39,11.37,10.48,,,Rancho La Brea,R,adult,,,spur=little bump; broken off,
californica,,,R 15683,,,,6.69,4.65,17.84,9.64,9.02,,,Rancho La Brea,L,adult,,,,
californica,,,R 18163,,,,,4.61,18.26,10.13,9.33,,,Rancho La Brea,L,adult,,,,
californica,,,R 23660,,21.95,13.36,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,R 23831,,21.03,13.78,8.44,,,,,,13.64,Rancho La Brea,L,adult,,,top of spur broken off,
californica,,,R 33200,,21.64,13.37,8.59,,,,,,,Rancho La Brea,L,adult,,,spur broken off,
californica,,,R 36935,,17.37,11.48,,,,,,,,Rancho La Brea,L,adult,,,,
californica,,,R 31404,,18.15,11.26,,,,,,,,Rancho La Brea,L,adult,,,,
californica,,,R 31128,,,,,4.81,17.51,9.57,8.71,,,Rancho La Brea,R,adult,,,,
californica,,,R 31935,120.95,17.97,11.12,6.94,4.48,17.52,9.6,8.85,,,Rancho La Brea,R,imm (prox part spongy),,Measurements probably OK,,
californica,,,R 27645,137.85,22.04,13.11,8.83,5.82,22.53,12.73,10.88,66.67,18.4,Rancho La Brea,L,adult,,,spur fully developed,
californica,,,R 36443,141.47,19.98,12.56,8.01,5.45,21.4,11.33,,,,Rancho La Brea,R,adult,,,"there is a spot where spur could have been, but it is unsure if spur was present",
californica,,,R 38647,114.75,17.27,,7.27,,19.36,10.56,9.48,,,Rancho La Brea,R,imm (prox part spongy),,Measurements probably OK,,
californica,,,R 40706,,,,6.53,4.56,18.86,10.17,9.29,,,Rancho La Brea,R,imm?,,Measurements OK,,
californica,,,R 48996,113,17.37,11.19,7.25,4.74,18.96,10.28,9.42,,,Rancho La Brea,L,adult,,,,
californica,,,R 54246,120.94,,11.62,6.91,4.57,18.65,10.25,8.97,,,Rancho La Brea,R,imm (prox part spongy),,Measurements probably OK,,
californica,,,R 43992,,,,,,,,,,,Rancho La Brea,R,adult,,,,
californica,,,R 14471,,,,,5.67,22.46,12.25,10.92,,,Rancho La Brea,L,adult,,,,
californica,,,R 49814,139.57,21.31,14.05,8.7,6.12,21.51,12.45,10.73,65.31,13.4,Rancho La Brea,L,adult,,,top of spur broken off,
californica,,,PMS 3527,,,,8.9,,,,,,28.94,Rancho La Brea,R,adult,,,spur fully developed; very long and sharp!,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
intermedia,,f,112164,129.36,19.93,11.9,7.21,4.95,19.77,10.33,9.35,,,Texas: Wheeler Co,11-May-2002,adult,NHM LA,,,
intermedia,,f,112168,122.91,19.17,11.48,7.48,4.89,19.05,10.36,8.7,,,Texas,2002,adult,NHM LA,,,
intermedia,,f,112169,123.3,18.9,11.87,7.07,4.78,18.52,10.44,9.23,,,Texas,2002,adult,NHM LA,,,
intermedia,,f,112317,125.14,18.7,12.33,7.47,5.03,18.2,10.91,8.86,,,Texas: Wheeler Co,11-May-2002,adult,NHM LA,,,
merriami,,f,112161,129.55,19.43,11.83,7.7,5.34,,10.49,9.2,,,California: El Dorado Co,20-Mar-2001,adult,NHM LA,,,
merriami,,f,112316,121.31,19.48,12.31,7.26,4.59,19.85,10.26,9.49,,,Wyoming: Converse Co,5-Jan-2003,imm (sternum & TMT not fully ossified),NHM LA,,,Measurements probably OK
merriami,,f,112356,118.16,18.29,11.95,7.27,5.08,19.5,10.72,9.01,,,Wyoming: Converse Co,22-Nov-2002,imm (sternum not fully ossified; TMT almost fully ossified),NHM LA,,,Measurements probably OK
merriami,,f,112422,123.9,19.17,12.1,7.31,4.59,19.13,10.82,9.4,,,Wyoming: Converse Co,5-Jan-2003,imm (sternum not fully ossified; TMT almost fully ossified),NHM LA,,,Measurements probably OK
merriami,,f,112423,124.99,19.63,12.69,7.55,5.16,18.96,10.43,9.28,,,Wyoming: Converse Co,22-Nov-2002,adult,NHM LA,,,
merriami,,f,112449,124.85,19.77,13.27,7.57,4.87,20.67,10.48,10.02,,,Wyoming: Converse Co,"January, 2003",adult,NHM LA,,,
merriami,,f,112450,119.81,20.87,12.72,7.27,5.09,18.87,10.29,9.8,,,Wyoming: Converse Co,"January, 2003",adult,NHM LA,,,
mexicana,,f,112429,133.29,20.97,13.36,8.03,5.54,20.95,11.49,9.98,,,"Mexico: Sonora, Yecora","March, 2003",adult,NHM LA,,,
mexicana,,f,112446,137.71,21.09,12.53,8.35,5.84,21.87,11.66,10.28,,,"Mexico: Sonora, Yecora","March, 2003",adult,NHM LA,,,
mexicana,,f,112447,135.13,20.75,13.24,8.58,5.38,21.93,12.15,10.24,,,"Mexico: Sonora, Yecora","March, 2003",adult,NHM LA,,,
mexicana,,f,112452,132.93,20.54,12.66,8.09,5.2,21.38,11.27,10.22,,,"Mexico: Sonora, Yecora","March, 2003",adult,NHM LA,,,
osceola,,f,112151,,,,,,,,,,,Florida: Polk Co,21-Sep-2002,imm (all bones clearly unossified),NHM LA,,,
osceola,,f,112355,131.61,19.29,11.34,7.27,4.78,18.85,9.66,9.26,,,Florida: Polk Co,20-Sep-2002,adult,NHM LA,,,
osceola,,f,112426,134.81,19.23,11.65,7.7,5.26,18.41,10.04,9.36,,,Florida: Palm Beach Co,spring 2002,adult,NHM LA,,,
osceola,,f,112430,137.78,19.58,11.9,7.89,5.14,18.47,10.35,8.72,,,Florida: St. Johns Co,11-13 December 2002,adult,NHM LA,,,
silvestris,,f,112315,124.2,19.34,11.94,6.85,4.66,19.45,10.79,9.77,,,New Hapshire: Cheshire Co,?,adult,NHM LA,,,
silvestris,,f,112318,130.88,19.76,11.73,7.24,5.19,18.45,10.52,8.96,,,Georgia:,?,adult,NHM LA,,,
silvestris,,f,112417,127.56,20.57,12.91,7.54,5.29,19.37,11.31,9.42,,,New Hampshire: Cheshire Co,?,adult,NHM LA,,,
silvestris,,f,112418,133.31,21.17,12.84,7.94,5.9,20.8,11.3,9.85,,,"New Hampshire: Cheshire Co, Richmond",23-Sep-95,adult,NHM LA,,,
ssp?,,f,112424,136.12,19.76,12.02,7.94,5.41,19.28,10.43,,,,California: El Dorado Co,10-Apr-2001,adult,NHM LA,,,
mexicana,,f?,112357,159.4,24.7,15.81,9.43,5.82,25.35,13.64,11.77,,,"Mexico: Sonora, Yecora","March, 2003","imm? Sternum not fully ossified, but TMT (no spur) looks like adult.",NHM LA,"Male, NOT female by size",No spur!,
intermedia,,m,112165,167.5,24.26,16.1,8.37,6.21,22.72,13.92,11.75,67.37,,Texas: Edwards Co,13-Apr-2002,adult,NHM LA,,spur=little bump,
intermedia,,m,112166,170.5,23.99,14.55,9.01,5.94,23.61,13.65,11.28,75.26,,Texas: Shlackleford Co,8-Apr-2002,adult,NHM LA,,"spur=little bump, broken off",
intermedia,,m,112167,159.3,24.26,14.64,9.29,6.48,24.06,13.37,11.43,69.23,19.39,Texas: Shlackleford Co,8-Apr-2002,adult,NHM LA,,spur fully developed,
intermedia,,m,112431,166,23.46,14.65,8.95,6.07,23.41,12.04,11.17,73.28,18.84,Texas: (Refugio Co.?),14-Apr-2002,adult,NHM LA,,spur a little spongy but its length probably OK,
intermedia,,m,LMO 2295 (=41758),166.75,24.57,15.23,9.54,6.32,23.62,13.43,12.25,75.96,21.2,Texas: Kerr Co,31-Oct-1941,adult,UCLA,,spur fully developed,
merriami,,m,112157,,,,,,,,,,,New Mexico: Otero Co,21-Apr-2002,adult,NHM LA,,,
merriami,,m,112158,,,,,,,,,,,New Mexico: Otero Co,21-Apr-2002,adult,NHM LA,,,
merriami,,m,112159,156.2,24.97,15.02,9.24,6,26.32,14.27,12.14,68.85,16.21,New Mexico: Otero Co,22-Apr-2002,adult,NHM LA,,spur probably fully developed but a little rough surface,
merriami,,m,112160,164,25.88,15.83,9.92,6.27,25.54,13.39,12.59,79.99,14.38,New Mexico: Otero Co,24-Apr-2002,adult,NHM LA,,spur somewhat spongy,
