Species,Subspecies,Sex,CatNo,A - total length,B - proximal width,C - depth of cotyla medialis,D - minimum width of shaft,E - minimum depth of shaft,F - distal width,G - distance between dorsal surface of trochlea metatarsi III and plantar side of trochlea metatarsi II,H - depth of lateral side of trochlea metatarsi III,I - Proximal side of base of spur core to the lateral end of Trochlea metatarsi III,J - length of spur core,Place of collection,Date of collection,My comments,Collection,Remarks 1,,
gallopavo,silvestris,m,112415,168.3,24.13,15.09,9.51,6.92,22.67,14.15,11.15,77.03,10.19,Tennessee: Rutheford Co,30-Oct-2002,adult,NHM LA,,spur spongy,
gallopavo,silvestris,m,112419,167.45,25.06,15.1,9.53,6.34,23.98,13.72,11.34,74.1,16.81,Tennessee: Rutheford Co,30-Oct-2002,adult,NHM LA,,spur probably fully developed but a little rough surface,
gallopavo,silvestris,m,112420,159.5,22.21,13.55,8.39,6.32,22.03,12.87,11.12,65.02,14.72,"South Carolina: Saluda Co, Saluda",1-Apr-02,adult,NHM LA,,spur probably fully developed but a little rough surface,
gallopavo,silvestris,m,112421,174.2,23.81,14.48,8.76,5.93,22.51,12.23,11.56,76.75,15.71,"South Carolina: Jasper Co, Ridgeland",18-Mar-03,adult,NHM LA,,spur probably fully developed but a little rough surface,
gallopavo,silvestris,m,112448,164.8,23.12,14.2,8.86,5.35,21.58,12.26,11.19,72.26,18.09,Georgia: Screven Co,31-Mar-2003,adult,NHM LA,,spur probably fully developed but a little rough surface,
gallopavo,ssp?,f,112424,136.12,19.76,12.02,7.94,5.41,19.28,10.43,,,,California: El Dorado Co,10-Apr-2001,adult,NHM LA,,,
californica,,,G 6272,147.74,23.85,14.36,9.42,5.92,23.47,12.91,11.7,64.75,17.45,Rancho La Brea,R,adult,TOPOTYPE (measurements similar to those of the type specimen: U.C.Vert.Paleo N0 11300,,spur probably fully developed but a little rough surface,
californica,,,E 5333,148.78,22.57,14.95,9.67,6.12,22.74,12.28,10.96,66,21.94,Rancho La Brea,R,adult,,,spur fully developed,figured specimen
californica,,,E 6173,145.49,22.5,14.04,8.28,5.93,22.33,12.58,11.09,67.32,14.18,Rancho La Brea,R,adult,,,spur spongy,figured specimen
californica,,,E 6801,145.42,,14.26,8.5,6.04,23.69,12.57,10.82,65.31,,Rancho La Brea,R,adult,,,spur=little bump,figured specimen
californica,,,E 6793,141.53,22.13,13.42,8.78,5.8,23.12,13.16,11.29,,,Rancho La Brea,R,adult,,,No spur,figured specimen
californica,,,E 5075,140.68,22.91,13.74,8.29,5.7,23.85,13.05,10.99,63.67,,Rancho La Brea,R,adult,,,spur=little bump,figured specimen
californica,,,E 7737,138.75,22.11,13.16,8.12,5.49,22.83,12.83,11.59,,,Rancho La Brea,R,imm,,Measurements probably OK,No spur,figured specimen
californica,,,E 5789,146.16,22.58,14.51,9.22,5.85,24.1,13.24,11.23,64.17,20.08,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,E 7538,139.49,21.82,12.61,7.86,5.36,20.99,11.02,10.36,,,Rancho La Brea,R,adult,,,spur=little bump,
californica,,,E 6305,144.72,23.38,13.91,8.51,5.66,23.05,13.42,11.39,63.63,18.64,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,E 6147,144.66,22.07,13.71,8.42,5.56,22.89,12.15,11.27,66.53,14.39,Rancho La Brea,R,adult,,,spur spongy,
californica,,,E 7439,144.47,22.91,13.84,8.9,5.69,23.22,13.27,10.82,68.77,21.29,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,E 7146,137.89,21.07,13.52,8.56,5.74,22.03,11.82,10.64,66.57,,Rancho La Brea,R,adult,,,spur=little bump,
californica,,,E 6725,142.87,22.03,14.23,9.03,5.99,22.44,,11.37,62.14,20.86,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,E 7054,140.95,21.39,13.61,8.94,5.9,21.77,11.64,,66.55,15.19,Rancho La Brea,R,adult,,,spur spongy,
californica,,,E 6838,135.87,21.96,13.59,8.56,5.63,22.15,12.6,10.98,60.06,17.44,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface,
californica,,,E 7695,141.45,21.2,13.2,8.51,5.9,22.17,12.46,10.91,67,17.29,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface,
californica,,,E 8370,134.87,21.67,12.7,8.71,5.46,22.17,11.92,10.65,62.18,16.08,Rancho La Brea,R,adult,,,"spur probably fully developed but a little rough surface, and broken",
californica,,,E 7671,130.99,21.33,13.21,8.61,5.36,21.75,12.11,10.63,,,Rancho La Brea,R,adult,,,spur=little bump,
californica,,,E 6317,134.98,20.53,13.25,7.4,5.43,,,,62.3,13.1,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface,
californica,,,E 5177,140.02,22.93,14.25,8.71,5.71,23.67,13.22,11.8,66.77,19.48,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,E 5336,141.86,,,8.98,5.74,22.54,12.01,10.63,64.25,19.47,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,E 8389,135.22,22.17,13.59,8.44,5.63,22.17,12.45,10.5,61.97,16.15,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,K 3090,132.16,22.38,13.26,8.48,5.54,22.74,12.18,11.24,62.68,17.72,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface,
californica,,,E 8004,134.47,,13.78,8.15,5.67,,,10.88,60.65,16,Rancho La Brea,R,adult,,,"spur probably fully developed but a little rough surface, and broken",
californica,,,E 7339,143.28,22.48,14.06,8.68,5.88,22.03,12.52,10.73,66.07,,Rancho La Brea,R,adult,,,spur broken off,
californica,,,E 5181,141.73,22.37,14.08,9.15,5.91,23.98,13.15,11.73,64.49,21.39,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,E 7492,142.96,22.39,13.9,8.95,5.7,23.64,12.77,11.59,67.71,18.24,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface,
californica,,,E 7411,141.71,22.32,13.26,9.06,5.82,22.26,11.71,11.27,65.24,14.88,Rancho La Brea,R,adult,,,spur spongy,
californica,,,E 7418,142.19,21.11,13.43,8.63,5.78,21.98,11.5,,64.28,,Rancho La Brea,R,adult,,,spur=little bump,
californica,,,E 6474,130.76,19.83,12.75,8.54,5.45,21.77,11.6,10.08,58.38,14.7,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface; small spur,
californica,,,E 6843,136.8,21.9,13.04,8.43,5.67,21.97,11.6,11.01,64.64,20.04,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,E 7294,137.19,20.73,13.79,8.56,5.53,22.06,12,11.08,62.9,20.64,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,E 5216,135.16,20.92,13.14,8.41,5.65,21.45,11.28,10.42,63.61,19.29,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,E 6334,141.85,21.47,13.52,,5.44,21.98,12.11,,66.12,14.28,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface,
californica,,,E 8246,141.09,23.03,14.8,9.24,5.91,24.35,12.62,11.81,65.49,17.86,Rancho La Brea,R,adult,,,Spur fully developed but top broken off,
californica,,,E 6518,141.58,20.48,13.15,8.26,5.69,22.01,11.72,10.44,63.14,18.4,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,E 5761,138.76,21.93,13.52,8.52,5.76,23,12.88,11.2,61.25,18.63,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,E 5356,131.41,20.56,13.75,8.14,5.39,21.27,11.24,10.23,62.18,17.47,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,E 6804,140.46,22.01,14.15,8.71,5.72,21.94,11.92,11.37,62.36,15.28,Rancho La Brea,R,adult,,,spur spongy,
californica,,,E 6660,144.68,20.96,13.06,8.47,5.73,22.29,12.03,10.83,67.82,,Rancho La Brea,R,adult,,,spur=little bump,
californica,,,E 6625,134.6,20.52,13.59,8.31,5.75,21.13,11.37,10.57,59.51,18.44,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,E 8140,145.97,21.64,13.8,8.31,5.64,22.22,12.26,10.73,67.06,,Rancho La Brea,R,imm?,,Measurements OK with the exception of spur length,spur=little bump,
californica,,,E 6845,142.86,21.24,,8.12,,22.3,11.72,,,,Rancho La Brea,R,adult,,,spur missing but probably used to be,
californica,,,E 7672,140.77,22.63,14.37,8.87,5.95,22.5,11.98,11.24,64.47,16.93,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,E 7923,143.01,23.01,14.32,9.52,5.36,23.74,13.18,11.76,64.13,23.42,Rancho La Brea,R,adult,,,"spur fully developed, very long",
californica,,,G 5993,127.29,20.58,,8.48,5.99,21.81,,,61.49,20.08,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,E 6339,140.29,22.77,13.44,8.61,5.56,21.98,12.41,10.96,65.12,17.13,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface,
californica,,,E 8466,146.83,21.82,13.67,9.12,5.69,22.6,,,65.66,21.46,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,E 6454,140.25,21.43,13.22,8.14,5.71,21.87,12.02,10.48,64.34,19.86,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,E 5412,124.71,21.29,13.22,7.8,5.12,21.15,11.58,10.34,60.25,,Rancho La Brea,R,adult,,,spur=little bump,
californica,,,E 6806,141.84,21.66,13.6,8.65,5.66,22.46,12.1,10.95,62.08,16.53,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface,
californica,,,G 6271,139.92,,13.54,8.92,5.37,23.27,13.08,11.47,64.79,14.55,Rancho La Brea,R,adult,,,spur spongy,
californica,,,E 6271,144.93,20.29,12.68,8.68,5.59,21.87,12.15,,62.04,,Rancho La Brea,R,adult,,,spur=little bump,
californica,,,E 5235,142.99,21.3,12.36,8.75,5.61,23.2,12.8,10.8,65.52,17,Rancho La Brea,R,adult,,,spur fully developed,
californica,,,E 8478,150.75,22.73,14.24,9.1,6.05,22.09,12.52,11.1,69.35,,Rancho La Brea,R,adult,,,spur broken off,
californica,,,E 6039,147.61,23.51,14.66,8.7,5.85,24.16,12.67,11.71,65.51,15.03,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface; top broken off,
californica,,,E 5317,,22.18,13.5,8.31,5.23,,,,,16.78,Rancho La Brea,R,adult,,,spur probably fully developed but a little rough surface,
californica,,,E 7215,133.12,20.94,13.62,8.59,5.7,22.04,11.94,10.69,62.11,,Rancho La Brea,R,adult,,,spur=little bump,
californica,,,K 8053,135.87,21.22,12.9,8.76,5.42,22,12.2,10.99,61.36,13.59,Rancho La Brea,R,adult,,,spur spongy,
californica,,,E 6028,146.93,22.99,14.22,7.89,5.63,23.23,12.72,11.28,,,Rancho La Brea,R,imm?,,Measurements OK,No spur,Male by size?
californica,,,E 6897,141.4,22.62,14.31,8.16,5.48,23.94,12.43,11.43,,,Rancho La Brea,R,imm?,,Measurements OK,No spur,Male by size?
californica,,,E 7677,141.09,21.78,13.04,8.36,5.39,,,10.82,,,Rancho La Brea,R,imm?,,Measurements OK,No spur,Male by size?
californica,,,E 5685,145.05,22.39,14.63,8.38,5.51,22.95,12.25,11.37,,,Rancho La Brea,R,imm?,,Measurements OK,No spur,Male by size?
californica,,,E 5793,139.69,22.69,14.31,8.34,5.45,23.18,12.75,10.76,,,Rancho La Brea,R,imm?,,Measurements OK,No spur,Male by size?
californica,,,E 6811,136.5,20.82,,7.31,5.32,21.33,11.98,,,,Rancho La Brea,R,imm (prox part spongy),,Measurements probably OK,No spur,Male by size?
californica,,,E 5899,145.73,22.25,13.69,8.32,5.63,23.08,12.84,11.1,,,Rancho La Brea,R,imm (prox part spongy),,Measurements probably OK,No spur,Male by size?
californica,,,E 7711,148.84,22.65,14.46,9.07,5.73,21.4,11.98,11.25,,,Rancho La Brea,R,imm?,,Measurements OK,No spur,Male by size?
californica,,,E 7556,141.28,21.93,14.43,8.04,5.47,22.29,12.4,10.72,,,Rancho La Brea,R,imm?,,Measurements OK,No spur,Male by size?
californica,,,E 5778,141.8,22.85,14.43,8.33,5.66,21.91,12.89,10.81,,,Rancho La Brea,R,imm?,,Measurements OK,No spur,Male by size?
californica,,,E 6836,147.93,22.5,13.71,8.65,5.71,23.35,11.59,11.27,,,Rancho La Brea,R,imm (prox part spongy),,Measurements probably OK,No spur,Male by size?
californica,,,E 8479,150.37,22.19,13.83,8.57,5.43,23.3,13.06,11.59,,,Rancho La Brea,R,imm (prox part spongy),,Measurements probably OK,No spur,Male by size?
californica,,,E 5073,140.36,21.33,12.98,7.47,5.1,21.76,11.99,11,,,Rancho La Brea,R,imm (prox part spongy),,Measurements probably OK,No spur,Male by size?
californica,,,E 8156,,21.57,13.08,7.88,5.24,22.18,,,,,Rancho La Brea,R,imm?,,Measurements probably OK,No spur,Male by size?
californica,,,E 6580,140.2,20.25,13.41,7.97,5.18,22.83,11.19,,,,Rancho La Brea,R,imm (prox part spongy),,Measurements probably OK,No spur,Male by size?
californica,,,E 6844,146.5,22.21,,7.77,5.59,22.08,12.25,11.01,,,Rancho La Brea,R,imm (prox part spongy),,Measurements probably OK,No spur,Male by size?
californica,,,E 8130,143.15,22.06,13.83,8.18,5.36,22.17,12.48,11.07,,,Rancho La Brea,R,imm?,,Measurements OK,No spur,Male by size?
californica,,,E 8063,145.47,22.18,13.94,9.31,6.27,21.91,12.64,11.29,,,Rancho La Brea,R,adult,,,Spur broken off?,Male by size?
californica,,,E 6124,146.23,21.83,14.31,7.66,5.41,22.32,,,,,Rancho La Brea,R,adult,,,Spur broken off?,Male by size?
californica,,,E 5220,140.6,22.37,13.7,8.16,5.51,22.49,13.03,,,,Rancho La Brea,R,adult,,,Spur broken off?,Male by size?
californica,,,E 7467,125.81,18.84,12.12,8.13,5.26,,,,,,Rancho La Brea,R,adult,,,No spur,Female by size?
