Catalog #,Pit #,Age,Total length,Proximal width,Proximal depth,Midshaft width,Midshaft depth,Distal width,Distal depth,Prox area,Mid area,Dist area
B5130,4,Unk,126.3,30.1,23.5,15.9,10.3,32.6,22.5,707.4,163.8,733.5
B5138,4,Unk,118.4,27.7,22.4,15.5,10,31.1,21.2,620.5,155,659.3
B5140,4,Unk,120.9,28.7,23.6,15.7,9.4,32.8,20.6,677.3,147.6,675.7
B5278,4,Unk,115.2,27.7,18.5,14.2,9.2,31.2,18.6,512.5,130.6,580.3
B5293,4,Unk,116.7,27.7,21.8,14.7,9.1,31,20.1,603.9,133.8,623.1
B5310,4,Unk,118.7,27.8,22.6,14.7,9.9,32.1,21.2,628.3,145.5,680.5
B5330,4,Unk,123.1,29.5,23.8,15.8,10.9,32,21.2,702.1,172.2,678.4
B5346,4,Unk,117.6,27.7,22.7,15.5,10.3,32.2,21.3,628.8,159.7,685.9
B5378,4,Unk,120.9,28.7,23.5,16.4,10.2,33.3,22.5,674.5,167.3,749.3
B5394,4,Unk,117.2,26.3,22.8,13.5,9.3,30.5,20.3,599.6,125.6,619.2
B5400,4,Unk,119.6,28.9,21.4,13.9,9.7,30.9,21.1,618.5,134.8,652
B5442,4,Unk,121.7,28.1,22.5,15.7,10.1,32.1,20.6,632.3,158.6,661.3
B5479,4,Unk,116.5,27.6,23.2,14.1,8.7,31,20,640.3,122.7,620
B5480,4,Unk,115,29.6,21.6,15,9.5,32.3,21.6,639.4,142.5,697.7
B5487,4,Unk,118,26.5,21.4,13.7,8.7,30.6,20.1,567.1,119.2,615.1
B5565,4,Unk,116.6,27.4,23.3,14.3,9.2,32.2,20.7,638.4,131.6,666.5
B5571,4,Unk,123.4,27,20.8,14.3,8.7,30.2,18.6,561.6,124.4,561.7
B5655,4,Unk,115.5,27.9,22.4,14,9.2,31.6,18.9,625,128.8,597.2
G2464,4,Unk,123.8,29.6,23.1,15.4,9.9,32.2,21.8,683.8,152.5,702
J9930,4,Unk,123.1,28.4,23.1,14.5,9.8,31.7,21.5,656,142.1,681.6
J9930,4,Unk,117.6,27.2,22,14,8.7,29.3,20.1,598.4,121.8,588.9
G2465,10,9000,120.6,27.4,22.6,15.5,9.3,32.1,20,619.2,144.2,642
B5821,13,14000,114.9,25.7,20.6,14.1,9.2,29.9,19.1,529.4,129.7,571.1
B5837,13,14000,112.8,27,20,14.7,9.1,31.5,18.9,540,133.8,595.4
B5858,13,14000,120.8,27.2,21.2,14.1,8.7,31,21.2,576.6,122.7,657.2
B5888,13,14000,124,27.4,21.5,15.5,9.6,32.6,20.8,589.1,148.8,678.1
B6046,13,14000,123.8,28.5,22.6,15.5,9.6,33.8,21.5,644.1,148.8,726.7
B8183,13,14000,117.7,27.4,20.8,14.3,9,29.8,19.7,569.9,128.7,587.1
D5067,13,14000,116.7,27.6,22.3,13.8,9.4,31.1,19.8,615.5,129.7,615.8
B6084,16,35000,120.2,29,23,16.3,9.3,32.8,20.9,667,151.6,685.5
B6098,16,35000,119.1,27.8,23.3,13.8,8.6,31.8,19.5,647.7,118.7,620.1
B8256,16,35000,121.3,29.3,24.2,15.2,10.4,31.9,21.4,709.1,158.1,682.7
B999,16,35000,118.7,28.5,22.4,16.3,9.6,31.8,20.1,638.4,156.5,639.2
G2468,36,Unk,118.9,27.5,22.6,15.2,9.9,31.4,20.7,621.5,150.5,650
G2469,36,Unk,118.5,27.4,23,14.9,10.4,31.2,20.6,630.2,155,642.7
B6535,60,23000,125.7,28.7,23.8,16.7,10.3,32.8,21.8,683.1,172,715
B6562,60,23000,112.4,24.5,20.3,13.6,8.4,29.7,17.5,497.4,114.2,519.8
B6565,60,23000,115.3,28.2,21.1,14,9.2,31.5,18.5,595,128.8,582.8
B6570,60,23000,115.4,26.7,22.3,15.1,9.4,31.2,19.5,595.4,141.9,608.4
B6578,60,23000,123.7,29.3,22.4,15.8,9.8,34,22.7,656.3,154.8,771.8
B6582,60,23000,119.4,26.5,21.9,14.3,10.2,31.4,26.9,580.4,145.9,844.7
B7414,61,12000,119.1,27.3,21.5,15.3,8.8,32,20.9,587,134.6,668.8
B7415,61,12000,118.3,27.8,22.8,16.1,10.1,33.8,21.3,633.8,162.6,719.9
B7439,61,12000,117.2,27.8,22.8,15.3,9.8,31.5,20.6,633.8,149.9,648.9
