A - total length,B - proximal width,C - depth of cotyla medialis,D - minimum width of shaft,E - minimum depth of shaft,F - distal width,G - distance between dorsal surface of trochlea metatarsi III and plantar side of trochlea metatarsi II,H - depth of lateral side of trochlea metatarsi III,I - Proximal side of base of spur core to the lateral end of Trochlea metatarsi III,J - length of spur core,Place of collection,Date of collection,My comments,Collection,Remarks 1,,,
113.4,18.32,11.41,7.07,4.68,18.44,10.1,9.11,,,Rancho La Brea,R,imm?,,Measurements probably OK,,,
117.49,18.28,11.41,6.89,5.07,18.78,10.68,9.07,,,Rancho La Brea,R,adult,,,,,
109.6,16.33,10.37,6.73,4.4,17.84,9.66,8.96,,,Rancho La Brea,R,adult,,,,,
115.5,18.11,11.4,6.55,4.4,19.48,10.46,9.51,,,Rancho La Brea,R,adult,,,,,
111.87,18.45,11.18,6.5,4.59,18.13,10.16,9.21,,,Rancho La Brea,R,adult,,,,,
107.86,18.48,11.3,6.79,4.96,17.65,10.73,9.25,,,Rancho La Brea,R,adult,,,,,
116.02,18.62,11.69,7.12,4.85,18.54,10.21,9.1,,,Rancho La Brea,R,adult,,,,,
120.69,19.16,11.77,6.9,5.11,19.88,10.36,9.48,,,Rancho La Brea,R,adult,,,,,
115.16,18.07,11.01,7.16,4.68,18.61,10.25,9.19,,,Rancho La Brea,R,adult,,,,,
112.75,18.39,11.4,6.67,4.67,18.76,9.97,9.04,,,Rancho La Brea,R,adult,,,,,
114.64,18.74,11.78,7.26,4.98,18.76,10.97,9.63,,,Rancho La Brea,R,adult,,,,,
115.37,19.33,11.79,7.48,5.03,19.53,10.92,9.79,,,Rancho La Brea,R,adult,,,,,
122.26,19.27,11.64,7.34,4.67,19.11,9.74,9.12,,,Rancho La Brea,R,adult,,,,,
118.24,19.12,12.35,6.93,5.02,19.1,9.71,9.71,,,Rancho La Brea,R,adult,,,,,
115.12,,11.72,7.6,5.09,19.1,11.03,9.32,,,Rancho La Brea,R,adult,,,,,
118.67,,11.8,7.15,4.92,19.06,10.45,8.96,,,Rancho La Brea,R,adult,,,,,
120.04,18.44,11.32,7.25,4.94,18.61,10.46,9,,,Rancho La Brea,R,adult,,,,,
110.52,18.29,11.53,7.23,4.65,19.21,10.27,9.01,,,Rancho La Brea,R,adult,,,,,
115.34,18.32,11.54,6.77,4.97,18.77,9.94,8.52,,,Rancho La Brea,R,adult,,,,,
112.7,18.27,11.43,6.99,5.01,18.93,10.25,9.43,,,Rancho La Brea,R,adult,,,,,
115.19,17.47,11.16,7.01,4.61,18.55,9.84,8.79,,,Rancho La Brea,R,adult,,,,,
116.01,18.33,11.73,7.02,4.57,18.16,9.73,8.53,,,Rancho La Brea,R,adult,,,,,
116.54,16.95,10.83,,4.55,18.11,9.56,9.01,,,Rancho La Brea,R,adult,,,,,
119.99,19.05,11.23,7.35,4.93,19.5,11.09,9.37,,,Rancho La Brea,R,adult,,,,,
115.81,17.95,10.91,6.82,,,,8.99,,,Rancho La Brea,R,imm?,,Measurements probably OK,,,
114.52,18.54,11.22,7.15,5,19.22,10.52,8.98,,,Rancho La Brea,R,adult,,,,,
111.12,18.51,11.45,6.93,4.62,18.7,10.68,9.18,,,Rancho La Brea,R,imm (prox part spongy),,Measurements probably OK,,,
115,,10.77,7.16,4.77,19.19,10.51,9.59,,,Rancho La Brea,R,adult,,,,,
112.45,17.48,10.83,6.62,4.74,18.4,9.52,8.32,,,Rancho La Brea,R,adult,,,,,
120.16,18.64,11.78,7.26,4.98,19.11,11.25,9.35,,,Rancho La Brea,R,adult,,,,,
114.17,18.46,11.51,6.51,4.46,19.08,9.79,9.53,,,Rancho La Brea,R,adult,,,,,
108.26,18.9,12.03,7.2,4.99,18.72,10.92,9.18,,,Rancho La Brea,R,adult,,,,,
117.34,,11.74,6.86,4.84,17.95,10.6,9.34,,,Rancho La Brea,R,adult,,,,,
110.52,17.99,11.02,6.68,4.8,17.75,10.25,8.86,,,Rancho La Brea,R,adult,,,,,
118.53,17.52,10.73,6.75,4.61,17.9,9.32,8.59,,,Rancho La Brea,R,adult,,,,,
110.89,17.33,,6.8,4.53,,,8.54,,,Rancho La Brea,R,adult,,,,,
111.96,17.86,11.14,6.35,4.5,17.79,10.21,8.69,,,Rancho La Brea,R,imm (prox part spongy),,Measurements probably OK,,,
118.55,18.56,11.26,7.27,4.6,18.62,9.48,8.62,,,Rancho La Brea,R,adult,,,,,
115.48,19.56,11.91,7.54,5.19,19.42,10.86,9.68,,,Rancho La Brea,R,adult,,,,,
113.84,18.17,11.28,7.02,4.64,19.03,11.04,9.42,,,Rancho La Brea,R,adult,,,,,
112.71,19.06,11.57,7.04,4.76,19.17,10.91,9.48,,,Rancho La Brea,R,adult,,,,,
120.7,19.34,11.56,7.15,4.99,19.76,11.37,9.6,,,Rancho La Brea,R,adult,,,,,
