"catno","pit","length","midwidth","middepth","distwidth"
NA,"67",97,17,14,24
NA,"67",94,17,14,25
NA,"67",97,17,14,25
NA,"67",92,17,15,23
NA,"67",94,18,13,26
NA,"67",101,20,15,27
NA,"67",98,18,14,27
NA,"67",93,16,13,25
NA,"67",95,17,15,24
NA,"67",98,18,15,27
NA,"67",97,18,15,24
NA,"67",96,17,14,26
NA,"67",96,16,13,26
NA,"67",94,17,14,25
NA,"67",99,19,14,26
NA,"67",95,17,14,25
NA,"67",93,16,13,24
NA,"67",98,18,15,25
NA,"67",98,17,14,25
NA,"67",90,17,14,24
NA,"67",84,16,14,24
NA,"67",97,19,15,29
NA,"67",97,19,16,26
NA,"67",104,17,14,26
NA,"67",101,21,14,26
NA,"67",98,19,16,28
NA,"67",94,18,15,25
NA,"67",98,16,13,23
NA,"67",98,16,14,26
NA,"67",102,17,14,27
NA,"67",98,16,14,25
NA,"67",97,17,14,25
NA,"67",93,17,14,24
NA,"67",101,18,13,26
NA,"67",98,16,15,27
NA,"67",98,18,15,26
NA,"67",102,18,14,26
NA,"67",100,16,13,25
NA,"67",97,18,16,25
NA,"67",91,16,14,25
NA,"67",90,16,13,25
NA,"67",90,16,13,24
NA,"67",92,17,14,25
NA,"77",94,17,15,25
NA,"77",92,17,14,26
NA,"77",99,17,15,26
NA,"77",90,15,13,24
NA,"77",86,16,14,22
NA,"77",90,15,12,23
NA,"77",93,15,14,25
NA,"77",90,15,13,22
NA,"77",94,16,14,24
NA,"77",91,16,14,22
NA,"77",99,15,14,24
NA,"77",92,16,13,23
NA,"77",95,15,13,23
NA,"77",92,16,14,25
NA,"77",87,16,12,24
NA,"77",89,15,13,23
NA,"77",94,17,14,26
NA,"77",90,16,13,24
NA,"77",96,16,14,26
NA,"77",94,17,14,24
NA,"77",95,17,14,26
NA,"77",98,17,16,25
NA,"77",94,17,15,25
NA,"77",95,17,15,24
NA,"77",94,17,15,26
NA,"77",96,17,15,25
NA,"77",93,16,13,23
NA,"77",93,16,15,25
NA,"77",99,16,13,24
NA,"77",88,16,14,24
NA,"77",86,16,13,23
NA,"77",87,16,13,22
NA,"77",90,17,14,25
NA,"77",87,16,14,25
NA,"77",91,18,16,25
NA,"77",87,15,13,22
NA,"77",99,18,15,26
NA,"77",90,14,12,21
NA,"77",84,15,12,23
NA,"77",97,18,15,26
NA,"77",94,16,14,24
NA,"77",96,17,14,24
NA,"77",91,16,14,24
NA,"77",85,15,13,22
NA,"77",85,17,14,23
NA,"77",90,18,14,24
NA,"77",90,17,15,25
NA,"77",96,16,14,24
NA,"77",96,16,15,23
NA,"77",90,17,14,23
NA,"77",93,17,15,25
NA,"77",98,16,14,26
NA,"77",96,17,14,24
NA,"77",80,14,13,22
NA,"77",87,16,13,24
NA,"77",85,16,13,22
NA,"77",92,16,13,24
NA,"77",89,16,13,23
NA,"77",93,17,15,24
NA,"77",92,16,14,24
NA,"77",92,16,14,25
NA,"9",109,18,15,27
NA,"9",95,16,14,26
NA,"9",102,17,16,26
NA,"9",91,17,14,26
NA,NA,95,17,14,25
NA,NA,96,NA,NA,NA
NA,NA,94,NA,NA,NA
NA,NA,97,NA,NA,NA
NA,NA,92,NA,NA,NA
NA,NA,99,NA,NA,NA
